result,table,_start,_stop,_time,_value,_field,_measurement
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:14:10.732361+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:14:25.735664+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:09:40.557999+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:09:55.572560+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:10:10.579179+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:10:25.596633+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:10:40.613768+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:10:55.627298+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:10.632218+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:25.649185+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:40.649455+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:55.662820+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:10.665462+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:25.683795+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:40.690572+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:55.703023+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:10.708978+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:25.716895+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:40.721909+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:55.729086+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:14:10.732360+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,4,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:14:25.735662+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,KELABO1-----BS1---KFU1
_result,5,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:09:40.558000+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,KELABO1-----BS1---KFU1
_result,5,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:09:55.572560+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,KELABO1-----BS1---KFU1
_result,5,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:10:10.579180+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,KELABO1-----BS1---KFU1
_result,5,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:10:25.596634+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,KELABO1-----BS1---KFU1
