#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:33:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:33:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:33:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:34:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:34:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:34:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:34:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:35:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:35:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:35:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:35:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:36:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:36:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:36:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:36:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:37:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:37:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:37:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:37:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:38:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:38:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:38:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:38:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:39:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:39:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:39:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:39:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:40:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:40:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:40:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:40:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:41:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:41:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:41:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
